project_id,title,description,brecha_ids
16,MEJORAMIENTO Y CONSTRUCCION DE CALLES EN EL DISTRITO DE POCOLLAY - TACNA - TACNA,MEJORAMIENTO Y CONSTRUCCION DE CALLES EN EL DISTRITO DE POCOLLAY - TACNA - TACNA,18
17,"CONSTRUCCION DE LA PLAZA PRINCIPAL  EN LA ASOCIACION VIVIENDA TALLERES MICRO ARTESANALES TACNA (ATMAT), DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE LA PLAZA PRINCIPAL  EN LA ASOCIACION VIVIENDA TALLERES MICRO ARTESANALES TACNA (ATMAT), DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
18,"CONSTRUCCION DE LOSA DEPORTIVA Y JUEGOS RECREATIVOS EN LA ASOCIACION DE VIVIENDA CUATRO SUYOS - VIÑANI, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE LOSA DEPORTIVA Y JUEGOS RECREATIVOS EN LA ASOCIACION DE VIVIENDA CUATRO SUYOS - VIÑANI, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",35
19,"MEJORAMIENTO DE VEREDAS Y BERMAS  EN LA JUNTA VECINAL LA ARBOLEDA , DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","MEJORAMIENTO DE VEREDAS Y BERMAS  EN LA JUNTA VECINAL LA ARBOLEDA , DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
20,"REHABILITACION Y MEJORAMIENTO VIAL  EN LA JUNTA VECINAL LA UNION , DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","REHABILITACION Y MEJORAMIENTO VIAL  EN LA JUNTA VECINAL LA UNION , DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
21,"CONSTRUCCION DE PARQUE RECREACIONAL  EN LA JUNTA VECINAL 28 DE AGOSTO II ETAPA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE PARQUE RECREACIONAL  EN LA JUNTA VECINAL 28 DE AGOSTO II ETAPA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
22,"MEJORAMIENTO DE VEREDAS Y BERMAS EN LA JUNTA VECINAL  28 DE AGOSTO II ETAPA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","MEJORAMIENTO DE VEREDAS Y BERMAS EN LA JUNTA VECINAL  28 DE AGOSTO II ETAPA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
23,"CONSTRUCCION DE LOCAL COMUNAL MULTIUSO LA ASOCIACIÓN DE VIVIENDA LOS ARENALES -  ASOCIACION DE VIVIENDA ROCA ETERNA VIÑANI III ETAPA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE LOCAL COMUNAL MULTIUSO LA ASOCIACIÓN DE VIVIENDA LOS ARENALES -  ASOCIACION DE VIVIENDA ROCA ETERNA VIÑANI III ETAPA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
24,"CONSTRUCCION Y EQUIPAMIENTO DEL LOCAL MULTIUSOS DE LA ASOCIACIÓN DE VIVIENDA EL MORRO, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION Y EQUIPAMIENTO DEL LOCAL MULTIUSOS DE LA ASOCIACIÓN DE VIVIENDA EL MORRO, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
25,"INSTALACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES EN EL ASENTAMIENTO HUMANO PUENTE CAMIARA, DISTRITO DE LOCUMBA, PROVINCIA DE JORGE BASADRE - TACNA","INSTALACION DEL SISTEMA DE AGUA POTABLE, ALCANTARILLADO Y SISTEMA DE TRATAMIENTO DE AGUAS RESIDUALES EN EL ASENTAMIENTO HUMANO PUENTE CAMIARA, DISTRITO DE LOCUMBA, PROVINCIA DE JORGE BASADRE - TACNA",16
26,"REHABILITACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO  EN LA  CALLE HAITI TRAMO  CALLE EMANCIPACION  - AVENIDA EL SOL , DISTRITO DE ALTO DE LA ALIANZA - TACNA - TACNA","REHABILITACION DE LAS REDES DE AGUA POTABLE Y ALCANTARILLADO  EN LA  CALLE HAITI TRAMO  CALLE EMANCIPACION  - AVENIDA EL SOL , DISTRITO DE ALTO DE LA ALIANZA - TACNA - TACNA",12
27,"FORTALECIMIENTO DE LA CADENA PRODUCTIVA DE LA CEBOLLA EN LA PROVINCIA DE TACNA Y JORGE BASADRE, REGION TACNA","FORTALECIMIENTO DE LA CADENA PRODUCTIVA DE LA CEBOLLA EN LA PROVINCIA DE TACNA Y JORGE BASADRE, REGION TACNA",38
28,FORTALECIMIENTO ORGANIZACIONAL Y COMERCIAL DE LOS PRODUCTORES DE ACEITUNAS DE LA REGIÓN TACNA,FORTALECIMIENTO ORGANIZACIONAL Y COMERCIAL DE LOS PRODUCTORES DE ACEITUNAS DE LA REGIÓN TACNA,38
29,"MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL DE LA CALLE INTIORKO Y LOS PASAJES M. PINZON Y POLONIA, DISTRITO DE ALTO DE LA ALIANZA - TACNA - TACNA","MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL DE LA CALLE INTIORKO Y LOS PASAJES M. PINZON Y POLONIA, DISTRITO DE ALTO DE LA ALIANZA - TACNA - TACNA",18
30,"ELECRIFICACION RURAL CON REDES PRIMARIAS Y REMODELACION DE REDES SECUNDARIAS EN LOS CENTROS POBLADOS TRIPARTITO, HOSPICIO Y ANCOMARCA, DISTRITO DE PALCA - REGION TACNA","ELECRIFICACION RURAL CON REDES PRIMARIAS Y REMODELACION DE REDES SECUNDARIAS EN LOS CENTROS POBLADOS TRIPARTITO, HOSPICIO Y ANCOMARCA, DISTRITO DE PALCA - REGION TACNA",43
31,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD EN LA CALLE CRISTINA VILDOSO, TRAMO PASAJE PACAY Y CALLE SANTA ANA DEL CENTRO POBLADO LA NATIVIDAD, DISTRITO DE TACNA, PROVINCIA DE TACNA - TACNA","MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD EN LA CALLE CRISTINA VILDOSO, TRAMO PASAJE PACAY Y CALLE SANTA ANA DEL CENTRO POBLADO LA NATIVIDAD, DISTRITO DE TACNA, PROVINCIA DE TACNA - TACNA",18
32,"MEJORAMIENTO DE PISTAS Y VEREDAS EN CALLES DE LA JUNTA VECINAL LEONCIO PRADO, DISTRITO DE TACNA, PROVINCIA DE TACNA - TACNA","MEJORAMIENTO DE PISTAS Y VEREDAS EN CALLES DE LA JUNTA VECINAL LEONCIO PRADO, DISTRITO DE TACNA, PROVINCIA DE TACNA - TACNA",18
33,"MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD PEATONAL Y VEHICULAR  DE LA JUNTA VECINAL ALMIRANTE MIGUEL GRAU,DE LA CIUDAD DE TACNA, PROVINCIA DE TACNA - TACNA","MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD PEATONAL Y VEHICULAR  DE LA JUNTA VECINAL ALMIRANTE MIGUEL GRAU,DE LA CIUDAD DE TACNA, PROVINCIA DE TACNA - TACNA",18
34,"MEJORAMIENTO DE LA CRIANZA DE GANADO OVINO EN COMUNIDADES ALTOANDINAS DE LOS DISTRITOS DE ANCO, CHUNGUI, SAN MIGUEL Y TAMBO, PROVINCIA DE LA MAR - AYACUCHO","MEJORAMIENTO DE LA CRIANZA DE GANADO OVINO EN COMUNIDADES ALTOANDINAS DE LOS DISTRITOS DE ANCO, CHUNGUI, SAN MIGUEL Y TAMBO, PROVINCIA DE LA MAR - AYACUCHO",38
35,"AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO  EN EL BARRIO DE LLAUSA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO  EN EL BARRIO DE LLAUSA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",20
36,"FORTALECIMIENTO DE CAPACIDADES PARA EL MEJORAMIENTO DE LA PRODUCCION DE PALTO EN LAS LOCALIDADES DE TRANCA, NINABAMBA Y MAGNUPAMPA DEL DISTRITO DE SAN MIGUEL","FORTALECIMIENTO DE CAPACIDADES PARA EL MEJORAMIENTO DE LA PRODUCCION DE PALTO EN LAS LOCALIDADES DE TRANCA, NINABAMBA Y MAGNUPAMPA DEL DISTRITO DE SAN MIGUEL",38
37,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS MEJORADAS EN LAS COMUNIDADES DE CUSAY, PAMPANHUAYLLA, SANTA MAGDALENA Y CCATUNRUMI DE CCACHITUPA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS MEJORADAS EN LAS COMUNIDADES DE CUSAY, PAMPANHUAYLLA, SANTA MAGDALENA Y CCATUNRUMI DE CCACHITUPA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
38,"INSTALACION DEL  SISTEMA DE AGUA POTABLE Y LETRINAS EN EL ANEXO DE BALSAMUYOCC DEL CENTRO POBLADO DE PALMAPAMPA  DEL DISTRITO DE  SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","INSTALACION DEL  SISTEMA DE AGUA POTABLE Y LETRINAS EN EL ANEXO DE BALSAMUYOCC DEL CENTRO POBLADO DE PALMAPAMPA  DEL DISTRITO DE  SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
39,"FORTALECIMIENTO DE CAPACIDADES PARA EL MEJORAMIENTO DE LA PRODUCCION DEL GANADO VACUNO EN LA COMUNIDAD DE RETAMA DEL DISTRITO DE CHILCAS, PROVINCIA DE LA MAR - AYACUCHO","FORTALECIMIENTO DE CAPACIDADES PARA EL MEJORAMIENTO DE LA PRODUCCION DEL GANADO VACUNO EN LA COMUNIDAD DE RETAMA DEL DISTRITO DE CHILCAS, PROVINCIA DE LA MAR - AYACUCHO",38
40,INSTALACION DEL SISTEMA DE ALCANTARILLADO EN EL BARRIO DE INCARACCAY DEL CENTRO POBLADO DE PATIBAMBA DEL DISTRITO DE SAN MIGUEL - PROVINCIA DE LA MAR-AYACUCHO,INSTALACION DEL SISTEMA DE ALCANTARILLADO EN EL BARRIO DE INCARACCAY DEL CENTRO POBLADO DE PATIBAMBA DEL DISTRITO DE SAN MIGUEL - PROVINCIA DE LA MAR-AYACUCHO,17
41,"AMPLIACION Y MEJORAMIENTO DEL SISTEMA AGUA POTABLE, INSTALACION DEL  SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA LOCALIDAD DE NINABAMBA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","AMPLIACION Y MEJORAMIENTO DEL SISTEMA AGUA POTABLE, INSTALACION DEL  SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA LOCALIDAD DE NINABAMBA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
42,"MEJORAMIENTO A NIVEL DE AFIRMADO DEL JR. MARISCAL CACERES PROLONGACION PRIMERA CUADRA, DISTRITO DE PUQIO, PROVINCIA DE LUCANAS - AYACUCHO","MEJORAMIENTO A NIVEL DE AFIRMADO DEL JR. MARISCAL CACERES PROLONGACION PRIMERA CUADRA, DISTRITO DE PUQIO, PROVINCIA DE LUCANAS - AYACUCHO",18
43,"CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y MEJORAMIENTO DE LETRINAS DE LA COMUNIDAD CAMPESINA DE TOTORA BAJA, DISTRITO DE COPORAQUE - ESPINAR - CUSCO","CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y MEJORAMIENTO DE LETRINAS DE LA COMUNIDAD CAMPESINA DE TOTORA BAJA, DISTRITO DE COPORAQUE - ESPINAR - CUSCO",16
44,"CONSTRUCCION DE VEREDAS Y BERMAS EN LOS COMITES 29, 30, 47, 32, 33 Y 31 EN LA AMPLIACION DEL ASENTAMIENTO HUMANO MARGINAL CIUDAD NUEVA, DISTRITO DE CIUDAD NUEVA - TACNA - TACNA","CONSTRUCCION DE VEREDAS Y BERMAS EN LOS COMITES 29, 30, 47, 32, 33 Y 31 EN LA AMPLIACION DEL ASENTAMIENTO HUMANO MARGINAL CIUDAD NUEVA, DISTRITO DE CIUDAD NUEVA - TACNA - TACNA",18
45,"CONSTRUCCION Y MEJORAMIENTO DE VEREDAS EN LOS CTES 9, 11, 12 Y 19 DE LA ASOC. DE VIV. 28 DE AGOSTO, DISTRITO DE CIUDAD NUEVA - TACNA - TACNA","CONSTRUCCION Y MEJORAMIENTO DE VEREDAS EN LOS CTES 9, 11, 12 Y 19 DE LA ASOC. DE VIV. 28 DE AGOSTO, DISTRITO DE CIUDAD NUEVA - TACNA - TACNA",18
46,"MEJORAMIENTO DE SUELOS PARA LA PRODUCCION AGRICOLA CON ABONOS ORGANICOS , DISTRITO DE POCOLLAY - TACNA - TACNA","MEJORAMIENTO DE SUELOS PARA LA PRODUCCION AGRICOLA CON ABONOS ORGANICOS , DISTRITO DE POCOLLAY - TACNA - TACNA",2
47,"MEJORAMIENTO DE LOSA DEPORTIVA E INSTALACION DE JUEGOS INFANTILES EN ALTO POCOLLAY, DISTRITO DE POCOLLAY - TACNA - TACNA","MEJORAMIENTO DE LOSA DEPORTIVA E INSTALACION DE JUEGOS INFANTILES EN ALTO POCOLLAY, DISTRITO DE POCOLLAY - TACNA - TACNA",35
48,"CONSTRUCCION DE PARQUE RECREACIONAL DEPORTIVO EN LA ASOCIACION DE VIVEINDA VILLA LOS PROCERES, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE PARQUE RECREACIONAL DEPORTIVO EN LA ASOCIACION DE VIVEINDA VILLA LOS PROCERES, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
49,"CREACION DEL SERVICIO CIVICO CULTURAL EN LA JUNTA VECINAL TACNA Y ARICA - SECTOR II, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CREACION DEL SERVICIO CIVICO CULTURAL EN LA JUNTA VECINAL TACNA Y ARICA - SECTOR II, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
50,"CONSTRUCCION DE VEREDAS Y BERMAS EN LA ASOCIACION DE VIVIENDA EDUARDO PEREZ GAMBOA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE VEREDAS Y BERMAS EN LA ASOCIACION DE VIVIENDA EDUARDO PEREZ GAMBOA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
51,"CONSTRUCCION DE VEREDAS Y BERMAS EN LA JUNTA VECINAL TACNA Y ARICA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE VEREDAS Y BERMAS EN LA JUNTA VECINAL TACNA Y ARICA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
52,"MEJORAMIENTO DE LOSA DEPORTIVA, CONSTRUCCION DE PLAZA CIVICA Y PAQUE RECREATIVO EN LA ASOCIACION DE VIVIENDA EL PEDREGAL, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","MEJORAMIENTO DE LOSA DEPORTIVA, CONSTRUCCION DE PLAZA CIVICA Y PAQUE RECREATIVO EN LA ASOCIACION DE VIVIENDA EL PEDREGAL, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",30
53,"AMPLIACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE VIVIENDA NUEVA ESPERANZA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","AMPLIACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE VIVIENDA NUEVA ESPERANZA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",19
54,"AMPLIACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE VIVIENDA NUEVA ESPERANZA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","AMPLIACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE VIVIENDA NUEVA ESPERANZA, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",20
55,"CONSTRUCCION DE PISTAS EN LA ASOCIACIÓN DE VIVIENDA EL MORRO II DEL, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE PISTAS EN LA ASOCIACIÓN DE VIVIENDA EL MORRO II DEL, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
56,"CONSTRUCCION DE PISTAS Y VEREDAS EN LA ASOCIACIÓN DE VIVIENDA LOS JARDINES, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA","CONSTRUCCION DE PISTAS Y VEREDAS EN LA ASOCIACIÓN DE VIVIENDA LOS JARDINES, DISTRITO DE CORONEL GREGORIO ALBARRACIN LANCHIPA - TACNA - TACNA",18
57,"FORTALECIMIENTO Y DESARROLLO DE LA ACTIVIDAD CAVICOLA EN EL DISTRITO DE LOCUMBA, PROVINCIA DE JORGE BASADRE - TACNA","FORTALECIMIENTO Y DESARROLLO DE LA ACTIVIDAD CAVICOLA EN EL DISTRITO DE LOCUMBA, PROVINCIA DE JORGE BASADRE - TACNA",2
58,"CONSTRUCCION DEL CENTRO CIVICO EN EL CENTRO POBLADO DE SACHARACCAY, DISTRITO DE ANCO - LA MAR - AYACUCHO","CONSTRUCCION DEL CENTRO CIVICO EN EL CENTRO POBLADO DE SACHARACCAY, DISTRITO DE ANCO - LA MAR - AYACUCHO",30
59,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y TRATAMIENTO DE AGUAS RESIDUALES EN LAS LOCALIDADES QUE CONFORMAN EL SISTEMA 02 A NIVEL DISTRITAL, DISTRITO DE ILABAYA - JORGE BASADRE - TACNA","MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y TRATAMIENTO DE AGUAS RESIDUALES EN LAS LOCALIDADES QUE CONFORMAN EL SISTEMA 02 A NIVEL DISTRITAL, DISTRITO DE ILABAYA - JORGE BASADRE - TACNA",16
60,AMPLIACION DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE DE CALANA A 500 LS EN LA PROVINCIA DE TACNA,AMPLIACION DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE DE CALANA A 500 LS EN LA PROVINCIA DE TACNA,12
61,"AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE  EN LA COMUNIDAD DE HUAYLLACA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","AMPLIACION, MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE  EN LA COMUNIDAD DE HUAYLLACA DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
62,"INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS EN EL ANEXO DE MONTERRICO ALTA DEL CENTRO POBLADO DE  MONTERRICO DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO","INSTALACION DEL SISTEMA DE AGUA POTABLE Y LETRINAS EN EL ANEXO DE MONTERRICO ALTA DEL CENTRO POBLADO DE  MONTERRICO DEL DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO",16
63,"INSTALACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE VIVIENDA VILLA JARDIN, DISTRITO DE ITE, PROVINCIA DE JORGE BASADRE - TACNA","INSTALACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION DE VIVIENDA VILLA JARDIN, DISTRITO DE ITE, PROVINCIA DE JORGE BASADRE - TACNA",16
64,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE EN LA COMUNIDAD PATACANCHA, DISTRITO DE HUANCARANI, PROVINCIA DE PAUCARTAMBO - CUSCO","MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE EN LA COMUNIDAD PATACANCHA, DISTRITO DE HUANCARANI, PROVINCIA DE PAUCARTAMBO - CUSCO",16
